TYPE,NAME,CATEGORY,HITPOINTS,LEVEL,TAME,ELEMENT/FACTION,HEADS,FLIGHT/TRANSFORM/SUMMONING,DECAY,AFFINITIES,PROJECTILES
DRAGON,DRIFON,ALIEN,17,7,1,FIRE,5,0,0,NONE,NONE
DRAGON,JHARY,UNDEAD,15,11,0,WATER,3,1,0,NONE,NONE
GHOUL,ZYRAJA,MYSTICAL,20,6,1,FLESHGORGER,1,0,1,NONE,NONE
MINDFLAYER,NYLTHOR,ALIEN,3,8,1,NONE,1,0,0,PSIONIC,PSIONIC-2
DRAGON,QUIVARA,UNDEAD,14,5,1,EARTH,3,0,0,NONE,NONE
GHOUL,LYTHARA,ALIEN,7,9,1,PLAGUEWEAVER,1,0,1,NONE,NONE
GHOUL,ZEPHYX,MYSTICAL,12,9,1,SHADOWSTALKER,1,1,1,NONE,NONE
MINDFLAYER,FAELAN,MYSTICAL,16,12,0,NONE,1,1,0,TELEPATHIC,ILLUSIONARY-3
DRAGON,VYNTHOR,UNDEAD,20,9,1,AIR,9,0,0,NONE,NONE
MINDFLAYER,QUIXARA,ALIEN,17,4,0,NONE,1,1,0,NONE,NONE
GHOUL,THALYN,MYSTICAL,16,10,0,FLESHGORGER,1,1,0,NONE,NONE
MINDFLAYER,XYLIX,UNDEAD,20,11,1,NONE,1,0,0,ILLUSIONARY,TELEPATHIC-1;ILLUSIONARY-2
DRAGON,ZEPHYRA,UNDEAD,15,4,1,WATER,10,0,0,NONE,NONE
DRAGON,VYLTHOR,ALIEN,7,9,1,EARTH,8,0,0,NONE,NONE
GHOUL,BOB,MYSTICAL,2,12,0,SHADOWSTALKER,1,1,0,NONE,NONE
MINDFLAYER,ZYRANA,ALIEN,16,7,0,NONE,1,1,0,PSIONIC;TELEPATHIC,NONE
GHOUL,MYTHOS,UNDEAD,18,9,0,PLAGUEWEAVER,1,0,0,NONE,NONE
DRAGON,KRYLIX,ALIEN,2,9,0,AIR,6,1,0,NONE,NONE
GHOUL,VORYN,MYSTICAL,17,9,1,FLESHGORGER,1,0,1,NONE,NONE
MINDFLAYER,JHRISMAS,MYSTICAL,5,12,0,NONE,1,1,0,NONE,NONE
MINDFLAYER,QUIZARA,UNKNOWN,11,2,0,NONE,1,1,0,PSIONIC;TELEPATHIC;ILLUSIONARY,PSIONIC-1;TELEPATHIC-1;ILLUSIONARY-1
GHOUL,VYRIX,UNKNOWN,7,7,1,PLAGUEWEAVER,1,0,3,NONE,NONE
DRAGON,DRIFANA,UNKNOWN,11,10,1,WATER,2,1,0,NONE,NONE
GHOUL,XALYN,UNKNOWN,5,10,1,SHADOWSTALKER,1,0,2,NONE,NONE
DRAGON,KRYTHOR,UNKNOWN,3,2,1,AIR,3,0,0,NONE,NONE
MINDFLAYER,JESTOR,UNKNOWN,13,10,0,NONE,1,0,0,NONE,NONE
MINDFLAYER,ZYRIXIS,UNKNOWN,6,4,0,NONE,1,0,0,NONE,NONE
GHOUL,JHERRY,UNDEAD,1,11,1,FLESHGORGER,1,1,5,NONE,NONE
